quality_id,supplier_id,month,inspection_score,defect_rate,return_rate,complaints
QUA_SUP000022_24,SUP000022,Month_24,75.9,4.51,2.94,3
QUA_SUP000022_25,SUP000022,Month_25,68.9,7.32,5.21,2
QUA_SUP000022_26,SUP000022,Month_26,68.0,6.81,4.63,0
QUA_SUP000022_27,SUP000022,Month_27,75.8,4.76,3.08,1
QUA_SUP000022_28,SUP000022,Month_28,76.2,6.93,5.22,0
QUA_SUP000022_29,SUP000022,Month_29,73.2,4.87,3.36,1
QUA_SUP000022_30,SUP000022,Month_30,66.8,6.52,4.64,1
QUA_SUP000022_31,SUP000022,Month_31,66.5,6.82,5.52,2
QUA_SUP000022_32,SUP000022,Month_32,64.9,6.95,5.79,0
QUA_SUP000022_33,SUP000022,Month_33,79.1,7.16,5.14,0
QUA_SUP000022_34,SUP000022,Month_34,75.0,6.0,4.21,2
QUA_SUP000022_35,SUP000022,Month_35,72.1,6.14,4.98,0
QUA_SUP000022_36,SUP000022,Month_36,69.3,6.43,5.56,0
QUA_SUP000022_37,SUP000022,Month_37,72.4,7.0,5.77,0
QUA_SUP000022_38,SUP000022,Month_38,64.8,3.91,3.42,2
QUA_SUP000022_39,SUP000022,Month_39,75.6,4.75,4.16,0
QUA_SUP000022_40,SUP000022,Month_40,64.7,3.46,2.57,3
QUA_SUP000022_41,SUP000022,Month_41,64.8,5.06,4.01,0
QUA_SUP000022_42,SUP000022,Month_42,78.8,7.28,5.99,0
QUA_SUP000022_43,SUP000022,Month_43,71.8,4.01,2.73,0
QUA_SUP000022_44,SUP000022,Month_44,78.9,4.29,3.28,3
QUA_SUP000022_45,SUP000022,Month_45,71.0,4.93,3.95,0
QUA_SUP000022_46,SUP000022,Month_46,62.5,6.53,4.69,1
QUA_SUP000022_47,SUP000022,Month_47,71.7,4.33,3.21,0
QUA_SUP000022_48,SUP000022,Month_48,73.5,5.77,4.77,0
QUA_SUP000022_49,SUP000022,Month_49,75.7,6.54,4.08,2
QUA_SUP000022_50,SUP000022,Month_50,63.7,6.87,5.51,3
QUA_SUP000022_51,SUP000022,Month_51,71.0,3.46,3.0,1
QUA_SUP000022_52,SUP000022,Month_52,71.3,3.89,2.87,3
QUA_SUP000022_53,SUP000022,Month_53,62.5,3.1,2.61,1
QUA_SUP000022_54,SUP000022,Month_54,70.5,4.71,3.49,3
QUA_SUP000022_55,SUP000022,Month_55,65.0,6.74,4.05,0
QUA_SUP000022_56,SUP000022,Month_56,63.7,5.41,3.94,0
QUA_SUP000022_57,SUP000022,Month_57,70.7,5.49,4.47,4
QUA_SUP000022_58,SUP000022,Month_58,72.0,3.63,2.97,4
QUA_SUP000022_59,SUP000022,Month_59,72.3,3.53,3.16,0
QUA_SUP000022_60,SUP000022,Month_60,79.6,4.79,3.16,0
QUA_SUP000023_01,SUP000023,Month_01,88.1,0.53,0.43,0
QUA_SUP000023_02,SUP000023,Month_02,91.8,0.82,0.5,0
QUA_SUP000023_03,SUP000023,Month_03,88.9,1.14,0.9,0
QUA_SUP000023_04,SUP000023,Month_04,88.9,1.68,1.17,0
QUA_SUP000023_05,SUP000023,Month_05,94.0,0.63,0.39,0
QUA_SUP000023_06,SUP000023,Month_06,93.7,1.68,1.22,0
QUA_SUP000023_07,SUP000023,Month_07,88.2,0.54,0.39,0
QUA_SUP000023_08,SUP000023,Month_08,92.5,1.43,1.15,0
QUA_SUP000023_09,SUP000023,Month_09,94.8,1.68,1.31,0
QUA_SUP000023_10,SUP000023,Month_10,94.9,1.69,1.12,0
QUA_SUP000023_11,SUP000023,Month_11,90.5,1.16,0.94,0
QUA_SUP000023_12,SUP000023,Month_12,90.9,1.66,1.3,0
QUA_SUP000023_13,SUP000023,Month_13,88.9,1.24,0.92,0
QUA_SUP000023_14,SUP000023,Month_14,88.7,0.83,0.56,0
QUA_SUP000023_15,SUP000023,Month_15,95.2,1.16,0.84,0
QUA_SUP000023_16,SUP000023,Month_16,93.1,1.61,1.29,0
QUA_SUP000023_17,SUP000023,Month_17,89.9,0.7,0.61,0
QUA_SUP000023_18,SUP000023,Month_18,88.7,1.79,1.34,0
QUA_SUP000023_19,SUP000023,Month_19,89.1,1.35,0.98,0
QUA_SUP000023_20,SUP000023,Month_20,89.2,1.17,0.81,0
QUA_SUP000023_21,SUP000023,Month_21,92.3,0.84,0.73,0
QUA_SUP000023_22,SUP000023,Month_22,95.2,1.79,1.34,0
QUA_SUP000023_23,SUP000023,Month_23,89.0,0.5,0.42,0
QUA_SUP000023_24,SUP000023,Month_24,93.5,1.46,1.16,0
QUA_SUP000023_25,SUP000023,Month_25,88.2,1.01,0.62,0
QUA_SUP000023_26,SUP000023,Month_26,90.4,1.47,1.23,0
QUA_SUP000023_27,SUP000023,Month_27,90.6,1.27,0.97,0
QUA_SUP000023_28,SUP000023,Month_28,90.7,0.77,0.5,0
QUA_SUP000023_29,SUP000023,Month_29,95.0,1.02,0.81,0
QUA_SUP000023_30,SUP000023,Month_30,93.8,1.64,1.33,0
QUA_SUP000023_31,SUP000023,Month_31,89.6,0.8,0.7,0
QUA_SUP000023_32,SUP000023,Month_32,94.8,1.68,1.2,0
QUA_SUP000023_33,SUP000023,Month_33,93.7,1.58,1.04,0
QUA_SUP000023_34,SUP000023,Month_34,88.1,1.68,1.04,0
QUA_SUP000023_35,SUP000023,Month_35,88.3,0.57,0.48,0
QUA_SUP000023_36,SUP000023,Month_36,92.7,0.59,0.43,0
QUA_SUP000023_37,SUP000023,Month_37,88.9,0.5,0.45,0
QUA_SUP000023_38,SUP000023,Month_38,94.8,1.19,0.73,0
QUA_SUP000023_39,SUP000023,Month_39,92.2,1.78,1.19,0
QUA_SUP000023_40,SUP000023,Month_40,93.6,0.86,0.6,0
QUA_SUP000023_41,SUP000023,Month_41,95.0,1.28,0.84,2
QUA_SUP000023_42,SUP000023,Month_42,93.5,1.31,0.88,0
QUA_SUP000023_43,SUP000023,Month_43,95.4,1.42,1.12,0
QUA_SUP000023_44,SUP000023,Month_44,91.3,0.62,0.51,0
QUA_SUP000023_45,SUP000023,Month_45,91.2,1.19,0.95,0
QUA_SUP000023_46,SUP000023,Month_46,92.1,1.55,1.0,0
QUA_SUP000023_47,SUP000023,Month_47,89.1,1.33,1.0,0
QUA_SUP000023_48,SUP000023,Month_48,90.8,1.78,1.47,0
QUA_SUP000023_49,SUP000023,Month_49,90.4,1.1,0.89,0
QUA_SUP000023_50,SUP000023,Month_50,90.1,1.1,0.66,0
QUA_SUP000023_51,SUP000023,Month_51,90.8,1.43,0.89,0
QUA_SUP000023_52,SUP000023,Month_52,94.6,1.8,1.1,0
QUA_SUP000023_53,SUP000023,Month_53,90.8,1.21,0.8,0
QUA_SUP000023_54,SUP000023,Month_54,94.2,0.82,0.7,0
QUA_SUP000023_55,SUP000023,Month_55,91.5,1.71,1.34,0
QUA_SUP000023_56,SUP000023,Month_56,92.9,0.88,0.56,0
QUA_SUP000023_57,SUP000023,Month_57,92.5,1.78,1.47,0
QUA_SUP000023_58,SUP000023,Month_58,89.1,1.05,0.7,0
QUA_SUP000023_59,SUP000023,Month_59,96.0,1.45,1.03,0
QUA_SUP000023_60,SUP000023,Month_60,88.2,1.45,1.04,0
QUA_SUP000024_01,SUP000024,Month_01,64.1,4.0,3.58,1
QUA_SUP000024_02,SUP000024,Month_02,65.5,7.14,6.01,0
QUA_SUP000024_03,SUP000024,Month_03,66.4,5.12,4.39,0
QUA_SUP000024_04,SUP000024,Month_04,67.9,5.6,4.63,1
QUA_SUP000024_05,SUP000024,Month_05,62.8,6.1,5.19,0
QUA_SUP000024_06,SUP000024,Month_06,66.4,6.03,4.7,0
QUA_SUP000024_07,SUP000024,Month_07,75.5,4.67,3.89,0
QUA_SUP000024_08,SUP000024,Month_08,71.1,4.54,3.3,0
QUA_SUP000024_09,SUP000024,Month_09,79.4,6.9,5.55,0
QUA_SUP000024_10,SUP000024,Month_10,78.5,5.47,4.64,0
QUA_SUP000024_11,SUP000024,Month_11,64.8,6.83,6.14,2
QUA_SUP000024_12,SUP000024,Month_12,65.9,5.84,3.76,0
QUA_SUP000024_13,SUP000024,Month_13,67.8,7.32,5.15,1
QUA_SUP000024_14,SUP000024,Month_14,69.9,4.23,3.59,0
QUA_SUP000024_15,SUP000024,Month_15,74.6,3.83,2.94,3
QUA_SUP000024_16,SUP000024,Month_16,77.8,5.83,4.97,0
QUA_SUP000024_17,SUP000024,Month_17,78.3,6.74,5.73,0
QUA_SUP000024_18,SUP000024,Month_18,77.6,7.04,6.14,0
QUA_SUP000024_19,SUP000024,Month_19,63.9,6.16,4.04,0
QUA_SUP000024_20,SUP000024,Month_20,65.4,6.65,4.23,0
QUA_SUP000024_21,SUP000024,Month_21,71.8,4.05,3.16,3
QUA_SUP000024_22,SUP000024,Month_22,68.4,3.44,2.28,0
QUA_SUP000024_23,SUP000024,Month_23,75.9,4.13,2.77,1
QUA_SUP000024_24,SUP000024,Month_24,67.7,3.98,2.45,0
QUA_SUP000024_25,SUP000024,Month_25,66.4,7.03,5.9,0
QUA_SUP000024_26,SUP000024,Month_26,72.8,5.35,4.39,0
QUA_SUP000024_27,SUP000024,Month_27,76.0,5.8,4.61,0
QUA_SUP000024_28,SUP000024,Month_28,69.7,5.98,4.24,2
QUA_SUP000024_29,SUP000024,Month_29,76.2,5.42,3.47,1
QUA_SUP000024_30,SUP000024,Month_30,67.0,6.28,4.83,0
QUA_SUP000024_31,SUP000024,Month_31,75.5,5.72,3.74,0
QUA_SUP000024_32,SUP000024,Month_32,63.9,5.18,4.31,0
QUA_SUP000024_33,SUP000024,Month_33,65.4,5.93,4.91,3
QUA_SUP000024_34,SUP000024,Month_34,63.7,4.8,2.97,0
QUA_SUP000024_35,SUP000024,Month_35,77.8,3.97,3.12,0
QUA_SUP000024_36,SUP000024,Month_36,65.5,4.93,3.0,0
QUA_SUP000024_37,SUP000024,Month_37,74.5,3.54,2.83,0
QUA_SUP000024_38,SUP000024,Month_38,74.7,7.39,6.0,1
QUA_SUP000024_39,SUP000024,Month_39,65.2,3.6,2.34,2
QUA_SUP000024_40,SUP000024,Month_40,65.1,6.83,4.65,0
QUA_SUP000024_41,SUP000024,Month_41,74.4,5.36,4.49,2
QUA_SUP000024_42,SUP000024,Month_42,75.0,6.65,4.11,0
QUA_SUP000024_43,SUP000024,Month_43,74.1,4.11,3.37,1
QUA_SUP000024_44,SUP000024,Month_44,69.8,4.39,2.65,0
QUA_SUP000024_45,SUP000024,Month_45,78.0,3.45,2.89,4
QUA_SUP000024_46,SUP000024,Month_46,67.2,3.76,3.11,2
QUA_SUP000024_47,SUP000024,Month_47,71.9,6.84,4.42,3
QUA_SUP000024_48,SUP000024,Month_48,79.7,3.14,2.54,0
QUA_SUP000024_49,SUP000024,Month_49,66.4,6.77,4.81,0
QUA_SUP000024_50,SUP000024,Month_50,74.6,4.38,3.17,2
QUA_SUP000024_51,SUP000024,Month_51,74.6,7.22,4.59,0
QUA_SUP000024_52,SUP000024,Month_52,75.2,4.92,3.05,0
QUA_SUP000024_53,SUP000024,Month_53,68.1,7.45,4.49,0
QUA_SUP000024_54,SUP000024,Month_54,76.4,4.28,2.97,3
QUA_SUP000024_55,SUP000024,Month_55,68.3,5.79,4.55,2
QUA_SUP000024_56,SUP000024,Month_56,63.2,3.87,2.36,0
QUA_SUP000024_57,SUP000024,Month_57,67.6,5.86,4.05,1
QUA_SUP000024_58,SUP000024,Month_58,67.8,3.42,2.7,0
QUA_SUP000024_59,SUP000024,Month_59,63.0,7.09,4.64,0
QUA_SUP000024_60,SUP000024,Month_60,77.5,6.0,5.08,2
QUA_SUP000025_01,SUP000025,Month_01,96.2,0.11,0.09,0
QUA_SUP000025_02,SUP000025,Month_02,96.7,0.32,0.21,0
QUA_SUP000025_03,SUP000025,Month_03,99.6,0.37,0.27,0
QUA_SUP000025_04,SUP000025,Month_04,96.1,0.53,0.38,0
QUA_SUP000025_05,SUP000025,Month_05,98.2,0.29,0.24,0
QUA_SUP000025_06,SUP000025,Month_06,95.0,0.49,0.41,0
QUA_SUP000025_07,SUP000025,Month_07,95.1,0.44,0.31,0
QUA_SUP000025_08,SUP000025,Month_08,98.3,0.73,0.59,0
QUA_SUP000025_09,SUP000025,Month_09,99.7,0.53,0.33,0
QUA_SUP000025_10,SUP000025,Month_10,97.4,0.36,0.23,0
QUA_SUP000025_11,SUP000025,Month_11,98.4,0.29,0.18,0
QUA_SUP000025_12,SUP000025,Month_12,96.5,0.65,0.45,0
QUA_SUP000025_13,SUP000025,Month_13,98.4,0.4,0.27,0
QUA_SUP000025_14,SUP000025,Month_14,97.7,0.46,0.37,0
QUA_SUP000025_15,SUP000025,Month_15,96.2,0.65,0.45,0
QUA_SUP000025_16,SUP000025,Month_16,97.9,0.29,0.21,0
QUA_SUP000025_17,SUP000025,Month_17,96.8,0.65,0.5,0
QUA_SUP000025_18,SUP000025,Month_18,95.2,0.11,0.08,0
QUA_SUP000025_19,SUP000025,Month_19,98.6,0.28,0.24,0
QUA_SUP000025_20,SUP000025,Month_20,96.1,0.68,0.46,0
QUA_SUP000025_21,SUP000025,Month_21,98.8,0.48,0.38,0
QUA_SUP000025_22,SUP000025,Month_22,95.5,0.7,0.59,0
QUA_SUP000025_23,SUP000025,Month_23,95.9,0.2,0.12,0
QUA_SUP000025_24,SUP000025,Month_24,97.9,0.64,0.55,0
QUA_SUP000025_25,SUP000025,Month_25,95.3,0.38,0.34,0
QUA_SUP000025_26,SUP000025,Month_26,96.2,0.71,0.5,0
QUA_SUP000025_27,SUP000025,Month_27,96.8,0.42,0.27,0
QUA_SUP000025_28,SUP000025,Month_28,95.3,0.13,0.08,0
QUA_SUP000025_29,SUP000025,Month_29,96.7,0.28,0.2,0
QUA_SUP000025_30,SUP000025,Month_30,96.1,0.3,0.27,0
QUA_SUP000025_31,SUP000025,Month_31,96.2,0.15,0.13,0
QUA_SUP000025_32,SUP000025,Month_32,96.3,0.48,0.3,0
QUA_SUP000025_33,SUP000025,Month_33,96.8,0.36,0.32,0
QUA_SUP000025_34,SUP000025,Month_34,96.7,0.28,0.19,0
QUA_SUP000025_35,SUP000025,Month_35,96.4,0.78,0.61,0
QUA_SUP000025_36,SUP000025,Month_36,96.5,0.38,0.26,0
QUA_SUP000025_37,SUP000025,Month_37,98.2,0.43,0.34,0
QUA_SUP000025_38,SUP000025,Month_38,96.6,0.27,0.17,0
QUA_SUP000025_39,SUP000025,Month_39,96.8,0.36,0.28,0
QUA_SUP000025_40,SUP000025,Month_40,99.2,0.57,0.44,0
QUA_SUP000025_41,SUP000025,Month_41,99.8,0.34,0.28,0
QUA_SUP000025_42,SUP000025,Month_42,96.5,0.44,0.39,0
QUA_SUP000025_43,SUP000025,Month_43,95.5,0.39,0.24,0
QUA_SUP000025_44,SUP000025,Month_44,98.9,0.74,0.61,0
QUA_SUP000025_45,SUP000025,Month_45,96.3,0.55,0.46,0
QUA_SUP000025_46,SUP000025,Month_46,97.1,0.27,0.22,0
QUA_SUP000025_47,SUP000025,Month_47,98.3,0.77,0.53,0
QUA_SUP000025_48,SUP000025,Month_48,95.0,0.11,0.07,0
QUA_SUP000025_49,SUP000025,Month_49,97.0,0.52,0.46,0
QUA_SUP000025_50,SUP000025,Month_50,98.2,0.17,0.14,0
QUA_SUP000025_51,SUP000025,Month_51,97.5,0.51,0.42,0
QUA_SUP000025_52,SUP000025,Month_52,99.0,0.59,0.52,0
QUA_SUP000025_53,SUP000025,Month_53,95.6,0.34,0.24,0
QUA_SUP000025_54,SUP000025,Month_54,96.7,0.13,0.11,0
QUA_SUP000025_55,SUP000025,Month_55,97.5,0.3,0.24,0
QUA_SUP000025_56,SUP000025,Month_56,97.0,0.19,0.11,0
QUA_SUP000025_57,SUP000025,Month_57,98.0,0.37,0.23,0
QUA_SUP000025_58,SUP000025,Month_58,97.3,0.53,0.32,0
QUA_SUP000025_59,SUP000025,Month_59,99.2,0.63,0.46,0
QUA_SUP000025_60,SUP000025,Month_60,95.2,0.37,0.28,0
QUA_SUP000026_01,SUP000026,Month_01,91.3,2.03,1.56,0
QUA_SUP000026_02,SUP000026,Month_02,85.1,0.91,0.74,0
QUA_SUP000026_03,SUP000026,Month_03,89.8,1.61,1.03,0
QUA_SUP000026_04,SUP000026,Month_04,93.8,1.49,1.2,0
QUA_SUP000026_05,SUP000026,Month_05,94.7,2.22,1.41,0
QUA_SUP000026_06,SUP000026,Month_06,87.6,1.06,0.65,0
QUA_SUP000026_07,SUP000026,Month_07,89.1,1.82,1.12,0
QUA_SUP000026_08,SUP000026,Month_08,92.6,2.02,1.37,0
QUA_SUP000026_09,SUP000026,Month_09,93.3,2.46,2.15,0
QUA_SUP000026_10,SUP000026,Month_10,91.8,1.05,0.71,0
QUA_SUP000026_11,SUP000026,Month_11,94.4,0.99,0.73,0
QUA_SUP000026_12,SUP000026,Month_12,93.2,1.47,1.29,0
QUA_SUP000026_13,SUP000026,Month_13,87.6,2.43,1.7,0
QUA_SUP000026_14,SUP000026,Month_14,90.7,2.14,1.85,0
QUA_SUP000026_15,SUP000026,Month_15,91.3,1.69,1.08,0
QUA_SUP000026_16,SUP000026,Month_16,91.1,1.18,1.05,0
QUA_SUP000026_17,SUP000026,Month_17,91.1,2.47,1.69,0
QUA_SUP000026_18,SUP000026,Month_18,93.0,1.08,0.83,0
QUA_SUP000026_19,SUP000026,Month_19,91.4,2.22,1.97,0
QUA_SUP000026_20,SUP000026,Month_20,91.5,1.35,0.98,0
QUA_SUP000026_21,SUP000026,Month_21,89.2,1.98,1.65,0
QUA_SUP000026_22,SUP000026,Month_22,93.0,0.94,0.66,0
QUA_SUP000026_23,SUP000026,Month_23,93.6,0.83,0.54,0
QUA_SUP000026_24,SUP000026,Month_24,89.3,2.35,1.93,0
QUA_SUP000026_25,SUP000026,Month_25,89.6,2.12,1.53,2
QUA_SUP000026_26,SUP000026,Month_26,85.1,2.02,1.3,0
QUA_SUP000026_27,SUP000026,Month_27,90.6,1.78,1.44,0
QUA_SUP000026_28,SUP000026,Month_28,91.4,1.53,1.31,0
QUA_SUP000026_29,SUP000026,Month_29,89.1,2.27,1.8,0
QUA_SUP000026_30,SUP000026,Month_30,88.0,1.57,1.17,0
QUA_SUP000026_31,SUP000026,Month_31,93.4,2.0,1.39,0
QUA_SUP000026_32,SUP000026,Month_32,91.6,0.89,0.78,0
QUA_SUP000026_33,SUP000026,Month_33,86.8,1.22,0.88,0
QUA_SUP000026_34,SUP000026,Month_34,89.9,1.04,0.85,0
QUA_SUP000026_35,SUP000026,Month_35,85.6,1.54,1.36,0
QUA_SUP000026_36,SUP000026,Month_36,93.1,1.25,0.97,0
QUA_SUP000026_37,SUP000026,Month_37,91.2,1.32,0.88,1
QUA_SUP000026_38,SUP000026,Month_38,90.7,1.8,1.23,0
QUA_SUP000026_39,SUP000026,Month_39,93.5,2.06,1.65,0
QUA_SUP000026_40,SUP000026,Month_40,93.7,2.15,1.73,0
QUA_SUP000026_41,SUP000026,Month_41,86.7,1.6,1.29,0
QUA_SUP000026_42,SUP000026,Month_42,88.3,1.14,0.96,0
QUA_SUP000026_43,SUP000026,Month_43,93.3,0.97,0.64,0
QUA_SUP000026_44,SUP000026,Month_44,85.2,1.62,1.11,0
QUA_SUP000026_45,SUP000026,Month_45,87.5,2.33,1.87,0
QUA_SUP000026_46,SUP000026,Month_46,85.5,2.48,1.8,0
QUA_SUP000026_47,SUP000026,Month_47,86.0,1.1,0.76,0
QUA_SUP000026_48,SUP000026,Month_48,89.8,1.23,0.97,0
QUA_SUP000026_49,SUP000026,Month_49,90.4,1.12,0.95,0
QUA_SUP000026_50,SUP000026,Month_50,86.6,1.21,0.85,0
QUA_SUP000026_51,SUP000026,Month_51,88.2,0.92,0.57,0
QUA_SUP000026_52,SUP000026,Month_52,87.5,1.02,0.64,0
QUA_SUP000026_53,SUP000026,Month_53,85.3,2.0,1.42,0
QUA_SUP000026_54,SUP000026,Month_54,88.6,1.71,1.28,0
QUA_SUP000026_55,SUP000026,Month_55,93.0,2.43,1.65,1
QUA_SUP000026_56,SUP000026,Month_56,95.0,0.89,0.57,0
QUA_SUP000026_57,SUP000026,Month_57,94.0,2.19,1.76,0
QUA_SUP000026_58,SUP000026,Month_58,94.5,1.47,0.91,0
QUA_SUP000026_59,SUP000026,Month_59,90.9,1.07,0.9,0
QUA_SUP000026_60,SUP000026,Month_60,93.6,1.02,0.69,0
QUA_SUP000027_01,SUP000027,Month_01,86.0,1.06,0.86,0
QUA_SUP000027_02,SUP000027,Month_02,87.7,1.46,0.98,0
QUA_SUP000027_03,SUP000027,Month_03,86.7,1.5,1.3,0
QUA_SUP000027_04,SUP000027,Month_04,94.7,1.47,0.89,0
QUA_SUP000027_05,SUP000027,Month_05,86.5,1.35,0.93,0
QUA_SUP000027_06,SUP000027,Month_06,90.4,0.81,0.64,0
QUA_SUP000027_07,SUP000027,Month_07,88.4,1.85,1.43,0
QUA_SUP000027_08,SUP000027,Month_08,89.9,2.11,1.72,0
QUA_SUP000027_09,SUP000027,Month_09,94.7,2.15,1.42,0
QUA_SUP000027_10,SUP000027,Month_10,93.3,2.46,2.11,0
QUA_SUP000027_11,SUP000027,Month_11,88.2,1.39,1.07,0
QUA_SUP000027_12,SUP000027,Month_12,91.4,1.05,0.86,0
QUA_SUP000027_13,SUP000027,Month_13,87.7,0.95,0.59,0
QUA_SUP000027_14,SUP000027,Month_14,91.8,2.48,2.2,0
QUA_SUP000027_15,SUP000027,Month_15,89.6,1.17,0.89,0
QUA_SUP000027_16,SUP000027,Month_16,86.5,1.4,1.25,0
QUA_SUP000027_17,SUP000027,Month_17,89.6,1.53,0.97,0
QUA_SUP000027_18,SUP000027,Month_18,88.6,1.74,1.43,0
QUA_SUP000027_19,SUP000027,Month_19,86.6,1.15,0.97,0
QUA_SUP000027_20,SUP000027,Month_20,90.4,1.41,1.25,0
QUA_SUP000027_21,SUP000027,Month_21,85.3,2.41,1.95,0
QUA_SUP000027_22,SUP000027,Month_22,90.8,1.08,0.73,0
QUA_SUP000027_23,SUP000027,Month_23,91.4,1.04,0.77,0
QUA_SUP000027_24,SUP000027,Month_24,94.6,2.23,1.45,0
QUA_SUP000027_25,SUP000027,Month_25,86.1,2.31,1.86,0
QUA_SUP000027_26,SUP000027,Month_26,90.2,1.14,0.75,0
QUA_SUP000027_27,SUP000027,Month_27,89.4,2.02,1.8,0
QUA_SUP000027_28,SUP000027,Month_28,92.6,1.29,0.91,0
QUA_SUP000027_29,SUP000027,Month_29,86.8,1.6,0.96,0
QUA_SUP000027_30,SUP000027,Month_30,91.2,2.24,1.71,0
QUA_SUP000027_31,SUP000027,Month_31,86.4,1.6,1.36,0
QUA_SUP000027_32,SUP000027,Month_32,85.7,1.96,1.27,0
QUA_SUP000027_33,SUP000027,Month_33,91.1,1.53,1.33,0
QUA_SUP000027_34,SUP000027,Month_34,91.3,1.35,0.88,0
QUA_SUP000027_35,SUP000027,Month_35,92.3,1.36,0.95,0
QUA_SUP000027_36,SUP000027,Month_36,91.8,0.83,0.74,0
QUA_SUP000027_37,SUP000027,Month_37,93.9,0.86,0.54,0
QUA_SUP000027_38,SUP000027,Month_38,88.0,1.71,1.16,0
QUA_SUP000027_39,SUP000027,Month_39,86.3,1.53,1.0,0
QUA_SUP000027_40,SUP000027,Month_40,91.9,0.82,0.6,0
QUA_SUP000027_41,SUP000027,Month_41,95.0,1.03,0.69,0
QUA_SUP000027_42,SUP000027,Month_42,85.4,2.07,1.57,0
QUA_SUP000027_43,SUP000027,Month_43,85.0,2.34,1.87,0
QUA_SUP000027_44,SUP000027,Month_44,91.8,2.29,1.81,0
QUA_SUP000027_45,SUP000027,Month_45,87.0,1.58,1.33,0
QUA_SUP000027_46,SUP000027,Month_46,90.7,2.47,2.05,0
QUA_SUP000027_47,SUP000027,Month_47,86.4,2.43,1.48,0
QUA_SUP000027_48,SUP000027,Month_48,91.1,2.28,1.85,1
QUA_SUP000027_49,SUP000027,Month_49,87.2,1.52,1.32,0
QUA_SUP000027_50,SUP000027,Month_50,89.3,1.46,1.12,0
QUA_SUP000027_51,SUP000027,Month_51,92.3,1.32,0.89,0
QUA_SUP000027_52,SUP000027,Month_52,93.6,1.23,0.84,0
QUA_SUP000027_53,SUP000027,Month_53,87.5,2.4,1.72,0
QUA_SUP000027_54,SUP000027,Month_54,89.4,1.25,0.92,0
QUA_SUP000027_55,SUP000027,Month_55,85.3,1.73,1.19,0
QUA_SUP000027_56,SUP000027,Month_56,92.3,1.74,1.1,0
QUA_SUP000027_57,SUP000027,Month_57,92.3,0.96,0.69,0
QUA_SUP000027_58,SUP000027,Month_58,86.4,2.41,2.04,0
QUA_SUP000027_59,SUP000027,Month_59,86.7,0.81,0.52,0
QUA_SUP000027_60,SUP000027,Month_60,86.0,1.41,0.98,0
QUA_SUP000028_01,SUP000028,Month_01,89.4,0.84,0.52,0
QUA_SUP000028_02,SUP000028,Month_02,89.5,0.94,0.58,0
QUA_SUP000028_03,SUP000028,Month_03,90.2,1.54,1.21,0
QUA_SUP000028_04,SUP000028,Month_04,95.2,1.05,0.9,0
QUA_SUP000028_05,SUP000028,Month_05,94.7,1.31,0.98,0
QUA_SUP000028_06,SUP000028,Month_06,93.2,1.09,0.98,0
QUA_SUP000028_07,SUP000028,Month_07,92.2,1.72,1.2,1
QUA_SUP000028_08,SUP000028,Month_08,90.2,1.17,1.01,0
QUA_SUP000028_09,SUP000028,Month_09,94.1,1.76,1.18,0
QUA_SUP000028_10,SUP000028,Month_10,88.0,1.69,1.49,0
QUA_SUP000028_11,SUP000028,Month_11,89.1,1.72,1.54,0
QUA_SUP000028_12,SUP000028,Month_12,95.9,1.04,0.9,0
QUA_SUP000028_13,SUP000028,Month_13,88.0,0.93,0.72,0
QUA_SUP000028_14,SUP000028,Month_14,89.5,1.09,0.87,0
QUA_SUP000028_15,SUP000028,Month_15,88.5,1.41,0.93,0
QUA_SUP000028_16,SUP000028,Month_16,91.0,0.82,0.64,0
QUA_SUP000028_17,SUP000028,Month_17,88.9,1.59,1.36,0
QUA_SUP000028_18,SUP000028,Month_18,92.2,1.52,1.13,0
QUA_SUP000028_19,SUP000028,Month_19,89.9,1.43,1.15,0
QUA_SUP000028_20,SUP000028,Month_20,91.3,1.7,1.05,0
QUA_SUP000028_21,SUP000028,Month_21,90.9,1.22,0.88,0
QUA_SUP000028_22,SUP000028,Month_22,93.6,1.41,0.95,0
QUA_SUP000028_23,SUP000028,Month_23,95.2,1.76,1.48,0
QUA_SUP000028_24,SUP000028,Month_24,88.2,1.04,0.82,0
QUA_SUP000028_25,SUP000028,Month_25,92.1,1.63,1.45,0
QUA_SUP000028_26,SUP000028,Month_26,88.8,0.55,0.44,0
QUA_SUP000028_27,SUP000028,Month_27,91.6,1.7,1.14,0
QUA_SUP000028_28,SUP000028,Month_28,88.4,1.59,1.41,0
QUA_SUP000028_29,SUP000028,Month_29,89.4,1.65,1.31,0
QUA_SUP000028_30,SUP000028,Month_30,94.0,1.14,0.87,0
QUA_SUP000028_31,SUP000028,Month_31,93.1,0.71,0.49,0
QUA_SUP000028_32,SUP000028,Month_32,95.0,0.96,0.63,0
QUA_SUP000028_33,SUP000028,Month_33,88.5,1.55,0.99,0
QUA_SUP000028_34,SUP000028,Month_34,88.6,1.21,0.73,0
QUA_SUP000028_35,SUP000028,Month_35,92.4,0.74,0.65,0
QUA_SUP000028_36,SUP000028,Month_36,92.3,1.54,1.34,0
QUA_SUP000028_37,SUP000028,Month_37,91.3,0.91,0.79,0
QUA_SUP000028_38,SUP000028,Month_38,90.8,1.62,1.13,0
QUA_SUP000028_39,SUP000028,Month_39,91.2,0.8,0.58,0
QUA_SUP000028_40,SUP000028,Month_40,93.7,0.89,0.67,0
